Text,Image
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.header_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.095,0.0122,0.87,0.1075"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.116,0.1143,0.071,0.0204"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.121,0.1401,0.731,0.0327"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_1_r1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.261,0.1592,0.159,0.0299"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_2,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1121,0.1866,0.7277,0.0858"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_3,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1121,0.2139,0.7277,0.0259"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_3_r1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1872,0.2316,0.6937,0.0409"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_4,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1191,0.2657,0.7347,0.0463"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1201,0.2875,0.0651,0.0245"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1211,0.3106,0.7137,0.0313"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2_2,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1211,0.3338,0.8539,0.0245"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2_3,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1201,0.3597,0.7297,0.045"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2_4,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1201,0.3842,0.7297,0.0327"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.3,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1211,0.4074,0.0671,0.0259"
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.3_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1221,0.4332,0.7277,0.0259"
